iter	MultiClass
241	0.609279374
242	0.6087785325
243	0.6081823423
244	0.6071844157
245	0.606068532
246	0.6057137715
247	0.6050000058
248	0.6043833687
249	0.6036022469
250	0.6029113231
251	0.6023509872
252	0.6020976141
253	0.6011890391
254	0.6004513984
255	0.6001367873
256	0.5996941419
257	0.5990970295
258	0.5985799608
259	0.5981154338
260	0.5976746041
261	0.5965262636
262	0.595817541
263	0.5947857383
264	0.5941611556
265	0.5936915
266	0.5932627324
267	0.5922792645
268	0.5915118221
269	0.5908038645
270	0.5898537486
271	0.5891441833
272	0.5886017446
273	0.5882859728
274	0.5878018481
275	0.5872439486
276	0.5863744151
277	0.5855052854
278	0.5849670133
279	0.5844575912
280	0.5838334089
281	0.5831021592
282	0.5823506585
283	0.5818487374
284	0.5812515603
285	0.581012698
286	0.5805755033
287	0.5800895809
288	0.5795579824
289	0.579151796
290	0.5785279575
291	0.5775459371
292	0.5771952024
293	0.5767417903
294	0.5760234328
295	0.5753433261
296	0.5749042916
297	0.5745724318
298	0.5741421565
299	0.5735419999
300	0.5729907963
301	0.572147034
302	0.5711044318
303	0.5700614048
304	0.5691371715
305	0.5683753118
306	0.5678589582
307	0.5675822934
308	0.5667571083
309	0.5660850177
310	0.5651438404
311	0.5643641064
312	0.5635926257
313	0.563151116
314	0.5626833737
315	0.5616476712
316	0.5612532255
317	0.5605359289
318	0.5601381231
319	0.5598067237
320	0.5592627126
321	0.559003687
322	0.5583414346
323	0.557715075
324	0.557433527
325	0.5568561327
326	0.5565761979
327	0.5563421437
328	0.5556481889
329	0.5554671931
330	0.5551166844
331	0.554702572
332	0.5543531602
333	0.5538045054
334	0.5533061616
335	0.5528176585
336	0.5525831781
337	0.5518586823
338	0.5515505304
339	0.5512888646
340	0.5509734545
341	0.5506767842
342	0.550299338
343	0.5501651481
344	0.5494526697
345	0.5489328858
346	0.5482825298
347	0.5478509249
348	0.5472416133
349	0.5466977765
350	0.5461838528
351	0.5457509578
352	0.5454110016
353	0.5445395945
354	0.5440037706
355	0.5437926756
356	0.5431905341
357	0.5424643914
358	0.5420843835
359	0.5415343081
360	0.5412391202
361	0.54056511
362	0.5399624695
363	0.5395396229
364	0.5388218091
365	0.5385124575
366	0.5381565433
367	0.5378911608
368	0.5373329393
369	0.5367933336
370	0.5363432415
371	0.5357218022
372	0.5352324899
373	0.5350376073
374	0.5344783076
375	0.5340802469
376	0.533811564
377	0.5334984032
378	0.5324749418
379	0.5318301365
380	0.5312933139
381	0.5308739009
382	0.5303995474
383	0.5299411955
384	0.5296510674
385	0.5290586486
386	0.5287529368
387	0.5282716619
388	0.5276353861
389	0.5272735811
390	0.5266813814
391	0.5260102731
392	0.525447411
393	0.5250205334
394	0.5243995045
395	0.5240172764
396	0.5237515212
397	0.5234541652
398	0.5228934712
399	0.5226563623
400	0.5219783954
401	0.521428507
402	0.5209826504
403	0.5208838046
404	0.520735025
405	0.5203250795
406	0.5202174132
407	0.5196721527
408	0.519306084
409	0.5187192121
410	0.5185402382
411	0.5180474804
412	0.5176097108
413	0.516980526
414	0.5168311045
415	0.5163056307
416	0.5159993674
417	0.5156299227
418	0.5153278407
419	0.5150832517
420	0.5148335847
421	0.5144471497
422	0.5142078641
423	0.5135572775
424	0.5134445246
425	0.5131789906
426	0.5128674768
427	0.5126111073
428	0.5122299043
429	0.5115421011
430	0.5108764854
431	0.5103299978
432	0.5097684743
433	0.5096141842
434	0.509151636
435	0.5084516019
436	0.50808551
437	0.5075395942
438	0.5073198074
439	0.5069936428
440	0.506460589
441	0.5062786518
442	0.5057748261
443	0.5052213448
444	0.5047581876
445	0.5043561764
446	0.5036846029
447	0.5035191717
448	0.5029589203
449	0.5025655326
450	0.5023384188
451	0.5020527267
452	0.5017368419
453	0.5014225695
454	0.501085895
455	0.5005511894
456	0.5000170273
457	0.4997083551
458	0.4994193372
459	0.4988056704
460	0.498573002
461	0.4981071136
462	0.4975446043
463	0.4970251944
464	0.4965763777
465	0.4962664018
466	0.4958762493
467	0.4956586136
468	0.4955136155
469	0.495227531
470	0.4949268133
471	0.4948187722
472	0.4945786265
473	0.4938485811
474	0.4935625099
475	0.4932766551
476	0.4927647663
477	0.4923426872
478	0.4921378535
479	0.4916476223
480	0.4910436923
481	0.4906955645
482	0.4904685881
483	0.4901168116
484	0.4895831046
485	0.4894087053
486	0.4892941476
487	0.4890501297
488	0.4887220543
489	0.4885067819
490	0.4880851868
491	0.4878486271
492	0.4874728242
493	0.48723817
494	0.4866422536
495	0.4864498232
496	0.4861763142
497	0.4857513656
498	0.4852293551
499	0.4850708666
500	0.4849006759
501	0.4846787835
502	0.4842121895
503	0.4838494301
504	0.483337865
505	0.4831056789
506	0.4824444393
507	0.4820631046
508	0.4819305937
509	0.481614739
510	0.4813146902
511	0.4807992455
512	0.4802541354
513	0.4800922738
514	0.479726488
515	0.4793934254
516	0.4790753974
517	0.4787207558
518	0.4783628129
519	0.4778306301
520	0.4772601992
521	0.4768955808
522	0.4767990705
523	0.4764956452
524	0.4762697672
525	0.4759813668
526	0.4758472184
527	0.475613943
528	0.4750669274
529	0.4746473276
530	0.4744076981
531	0.4742260528
532	0.4736772748
533	0.4733452325
534	0.4730686807
535	0.4727518434
536	0.4723146405
537	0.472088333
538	0.471395226
539	0.4709533059
540	0.4704671207
541	0.4702058587
542	0.4698797381
543	0.4697533093
544	0.469510236
545	0.469421885
546	0.4692303483
547	0.4687342275
548	0.4685214051
549	0.4678932621
550	0.4675125847
551	0.4673781314
552	0.4668843659
553	0.4666737719
554	0.4664022242
555	0.4658215482
556	0.4653860956
557	0.4653067544
558	0.4651192487
559	0.4646941773
560	0.4644677067
561	0.4639836541
562	0.4637214987
563	0.4635881148
564	0.4633894624
565	0.4630611791
566	0.4627397514
567	0.4625560648
568	0.4621502369
569	0.4617311105
570	0.4616024958
571	0.461225132
572	0.4608697473
573	0.4608219341
574	0.4606741644
575	0.4604378767
576	0.4602302244
577	0.4598476495
578	0.4597085124
579	0.4594851745
580	0.4590577106
581	0.4586522748
582	0.4583349125
583	0.4580486384
584	0.4578430223
585	0.4575696901
586	0.4571469681
587	0.4568081791
588	0.4564068579
589	0.4560643018
590	0.4559806661
591	0.4557504804
592	0.4554853257
593	0.4553508881
594	0.4549989467
595	0.4547414763
596	0.4542816934
597	0.4540711064
598	0.4537886555
599	0.4534042818
600	0.4531715698
601	0.4527033584
602	0.4521834416
603	0.4519459725
604	0.451752419
605	0.4515741973
606	0.4511573539
607	0.4510701126
608	0.4508877591
609	0.450785799
610	0.4506652661
611	0.4505076115
612	0.4502542856
613	0.4500359071
614	0.4497270047
615	0.4493643057
616	0.449072865
617	0.4487536118
618	0.4485601524
619	0.448244388
620	0.4479303533
621	0.4476933418
622	0.4473978298
623	0.447033195
624	0.4468028624
625	0.4466463756
626	0.4460660571
627	0.4456566391
628	0.4453870645
629	0.4451663876
630	0.4449343007
631	0.4444517031
632	0.4442286703
633	0.4436911526
634	0.4434055515
635	0.4430659736
636	0.4429079043
637	0.442632777
638	0.44241347
639	0.4420811901
640	0.4418717137
641	0.4415237741
642	0.4413920773
643	0.4412272457
644	0.4411127934
645	0.4405914082
646	0.4403479309
647	0.4400973946
